Codes Fédé,Fédérations françaises agréées en 2017,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,FF d'athlétisme,,20,16,8,4,8,33,9,24,5,16,11,10,67,23,9,8,22,14,17,13,14,16,34,8,11,14,13,23,19,28,20,32,4,60,33,55,9,18,31,8,15,15,19,7,59,22,6,11,8,47,21,22,6,19,28,9,36,32,10,72,36,7,45,23,29,17,11,34,32,33,4,11,31,12,26,41,37,57,62,10,30,22,6,44,16,40,14,20,24,14,6,49,49,33,33,40,38,37,12,59,2,6,5,13,14,1,0,2,2438
102,FF d'aviron,,9,3,2,3,1,4,1,4,0,2,5,2,16,3,0,3,4,1,2,3,2,3,6,0,3,4,5,3,1,17,3,14,2,12,10,7,0,4,7,3,4,4,5,1,10,4,4,7,0,4,3,4,1,2,5,4,9,4,1,10,2,0,4,1,6,0,5,5,3,12,2,3,2,3,9,1,7,6,8,1,2,3,4,9,2,3,1,2,2,2,1,7,5,2,9,6,5,13,3,1,0,0,0,4,0,1,0,1,428
103,FF de badminton,,17,7,10,6,7,16,9,13,4,8,5,11,40,29,3,9,19,20,11,1,3,14,27,11,16,18,11,13,24,21,16,41,4,55,21,86,20,28,44,10,17,26,18,7,49,39,10,13,3,39,15,17,4,27,23,7,37,25,4,62,16,22,36,27,8,2,16,59,25,34,11,11,21,12,16,30,40,48,45,6,14,9,7,20,12,25,11,27,14,10,1,40,22,21,28,27,7,5,4,15,0,0,1,0,11,1,0,0,1987
105,FF de basketball,,41,20,22,12,8,32,27,14,11,14,10,31,74,46,8,19,35,16,17,4,8,28,43,15,25,16,27,31,23,60,27,66,29,67,34,105,21,43,84,13,73,21,111,18,140,71,17,45,4,129,21,26,6,35,39,12,62,35,19,160,35,19,101,63,52,19,21,101,68,116,10,43,52,21,23,48,71,58,57,27,17,27,17,33,23,87,26,29,26,22,4,53,38,39,43,41,37,21,14,22,0,37,0,10,0,2,0,2,3945
106,FF de boxe,,4,9,6,3,1,18,5,5,2,4,4,4,29,10,0,0,6,4,4,3,3,3,8,1,4,9,5,9,6,5,13,20,5,29,17,5,4,7,19,5,8,6,13,2,18,8,1,5,1,8,7,8,5,5,12,3,10,18,3,34,12,4,23,12,9,3,7,13,10,22,2,7,8,4,10,19,17,18,15,4,4,4,1,16,9,7,4,4,0,2,2,12,14,27,19,11,9,8,7,12,0,0,0,0,6,1,0,0,871
107,FF de canoë-kayak,,8,11,4,3,5,8,12,6,3,5,2,3,10,7,1,10,8,6,8,0,3,9,14,2,7,13,4,9,5,20,8,7,4,14,10,20,4,6,7,1,7,5,6,2,17,8,2,8,2,13,8,10,2,4,11,2,19,11,6,13,4,3,13,3,13,5,3,12,4,4,3,6,5,5,7,2,9,16,9,3,9,4,2,15,5,11,8,4,4,8,2,6,4,5,9,2,10,4,10,9,0,4,1,0,1,0,0,1,710
108,FF de cyclisme,,24,23,15,17,13,33,17,12,11,11,16,15,78,33,11,20,26,19,10,10,11,23,55,12,21,29,28,28,17,51,25,28,6,49,42,52,13,39,48,15,13,16,34,10,46,32,7,14,7,35,36,22,10,17,23,9,49,28,9,66,28,22,50,30,25,18,14,24,27,41,13,31,42,29,46,3,48,41,27,17,28,18,10,56,31,38,15,25,22,21,4,31,19,22,12,23,61,25,11,27,0,5,0,11,6,1,0,1,2588
109,FF d'équitation,,37,28,22,14,13,37,14,15,13,13,23,21,99,32,12,30,37,23,11,11,31,32,21,15,30,24,36,37,25,26,50,45,16,77,46,19,13,33,26,19,17,25,33,8,61,25,21,35,9,45,46,24,18,12,40,9,45,36,16,67,51,16,48,32,34,19,14,63,28,22,15,38,27,13,19,25,56,50,46,15,25,30,30,56,22,58,21,13,19,21,4,47,23,5,10,25,9,2,8,10,1,1,0,2,19,1,21,0,2832
110,FF d'escrime,,10,3,5,4,2,11,7,6,2,4,5,3,18,12,2,2,8,5,3,2,2,7,10,3,7,5,8,12,2,4,6,16,2,18,8,17,1,6,12,6,4,2,5,6,10,10,0,2,0,5,6,7,4,1,11,2,6,8,2,22,12,2,10,5,6,2,6,11,12,27,3,6,7,5,5,33,15,24,28,2,5,5,2,13,7,6,7,4,5,4,2,25,31,18,26,14,9,5,3,10,0,0,0,0,4,1,2,2,810
111,FF de football,,127,159,152,32,16,112,80,119,40,88,74,108,221,165,73,132,135,98,80,41,55,119,226,72,133,163,103,122,95,239,152,265,50,266,166,266,130,139,224,74,63,96,205,106,256,117,65,50,29,188,150,156,85,181,175,49,252,332,71,587,207,91,412,194,93,36,59,350,207,283,69,147,178,62,124,187,300,174,156,147,199,95,69,114,90,165,177,120,87,104,35,135,122,114,129,124,98,81,74,235,8,121,2,0,72,1,84,16,14471
112,FF des sports de glace,,0,0,0,0,2,3,0,1,0,1,0,0,2,1,0,2,0,0,3,0,0,2,1,0,0,2,2,1,0,1,1,4,0,1,3,2,1,3,7,1,0,1,2,0,3,4,0,0,0,3,0,4,0,0,1,0,1,2,0,3,2,0,0,3,2,0,1,2,3,3,0,0,1,10,6,2,5,1,3,1,1,1,0,2,1,1,2,2,1,1,2,4,2,2,5,5,0,0,0,0,2,0,0,0,0,0,0,3,153
113,FF de gymnastique,,22,12,11,3,3,22,6,8,6,8,6,5,32,22,2,6,12,13,3,4,8,16,7,0,6,15,12,14,12,26,7,18,4,39,18,28,5,10,17,8,8,9,14,5,26,20,3,6,0,17,12,11,5,4,18,1,12,32,12,50,19,3,18,13,9,3,7,42,41,44,5,24,19,9,14,10,52,33,36,21,7,8,4,29,9,11,15,5,10,7,5,36,35,25,35,29,15,18,4,13,0,0,0,0,5,3,0,0,1491
