Codes Fédé,Fédérations françaises agréées en 2017,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
101,FF d'athlétisme,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,300,20549,32980,18963,6676,6012,6675,8768,11668,13075,11728,8549,6428,4772,2209,708,426,0,160486
,Licences féminines,,189,16069,36599,21862,4876,4727,4673,6978,10024,11623,10198,7614,5658,3669,1249,359,165,0,146532
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,489,36618,69579,40825,11552,10739,11348,15746,21692,24698,21926,16163,12086,8441,3458,1067,591,0,307018
102,FF des sociétés d'aviron,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,27,105,4553,5005,1715,1341,1373,1522,1707,2211,2274,2001,1632,1215,784,300,170,0,27935
,Licences féminines,,19,46,2846,2835,996,818,927,1133,1565,2114,2054,1594,986,529,248,48,23,0,18781
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,332
,Sous/Total,,46,151,7399,7840,2711,2159,2300,2655,3272,4325,4328,3595,2618,1744,1032,348,193,332,47048
103,FF de badminton,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,10,5606,21791,18002,6655,11991,12994,12555,11338,9761,6157,3127,1394,547,192,49,13,0,122182
,Licences féminines,,3,2992,12879,10501,4984,9087,7833,6755,5546,4312,2643,1173,455,157,48,21,31,0,69420
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,13,8598,34670,28503,11639,21078,20827,19310,16884,14073,8800,4300,1849,704,240,70,44,0,191602
105,FF de basketball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,633,64474,102938,68367,19060,17988,15253,17673,14751,10826,6648,4281,2625,1828,1107,424,316,0,349192
,Licences féminines,,248,31340,62929,34365,11991,10133,7137,7749,7920,6796,4093,2128,1007,636,317,120,83,0,188992
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111
,Sous/Total,,881,95814,165867,102732,31051,28121,22390,25422,22671,17622,10741,6409,3632,2464,1424,544,399,111,538295
106,FF de boxe,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,3,2848,8479,8805,3548,3400,2870,2340,2001,1873,1342,1017,664,574,319,140,126,0,40349
,Licences féminines,,0,684,2852,4052,1053,1174,1183,1133,997,706,422,239,155,90,75,16,12,0,14843
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,6
,Sous/Total,,3,3532,11331,12857,4601,4574,4053,3473,2998,2579,1764,1258,820,666,394,156,139,0,55198
107,FF de canoë-kayak,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,48,1664,9206,5371,1972,1922,1957,2025,2226,2263,2028,1563,1214,754,377,132,56,0,34778
,Licences féminines,,51,1019,5146,2212,781,866,782,851,1081,1217,1132,872,577,371,125,40,14,0,17137
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,99,2683,14352,7583,2753,2788,2739,2876,3307,3480,3160,2435,1791,1125,502,172,70,0,51915
108,FF de cyclisme,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,234,10749,21066,13982,4859,3870,4126,4942,7075,8223,6909,5662,4850,4357,2288,824,522,1,104539
,Licences féminines,,51,1246,2220,1407,565,447,459,714,1061,1194,909,657,516,456,211,74,53,0,12240
