,Codes départements,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2A,2B,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,971,972,973,974,975,976,977,978,986,987,988,980,ETR,,
Codes Fédé,Fédérations françaises agréées en 2017,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,St Barthélémy,St Martin,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
101,FF d'athlétisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1165,1359,640,217,416,2082,560,1501,166,936,714,660,4333,1764,303,851,1558,730,775,473,492,1109,1575,307,782,837,897,1561,1216,1847,1797,2908,302,4229,2068,3658,427,1478,2412,621,938,1086,1650,569,5020,1731,307,618,273,3511,1475,1708,415,1276,1420,419,1894,2005,460,5112,2301,445,3306,1555,1459,797,708,1839,1624,3224,339,1059,2135,874,1697,2262,2877,4148,4617,973,1722,1295,502,2719,1234,2432,917,1120,1291,807,313,3940,3922,2133,3403,3161,1393,1300,508,3111,59,89,15,58,92,526,415,55,92,10,160486
,Licences féminines,,1072,1238,586,187,339,1708,581,1240,132,889,849,647,3829,1504,254,782,1485,693,698,404,319,927,1455,212,668,890,882,1526,1125,1799,1769,2580,348,4255,1994,3339,326,1359,2176,677,901,1063,1709,503,4617,1585,417,531,185,2767,1502,1654,398,1427,1398,344,1791,2040,370,4463,2273,404,3126,1574,1377,657,567,1801,1420,2907,254,942,2028,962,1620,1836,2589,3493,3968,954,1556,1246,554,2559,1174,2315,879,970,1200,535,273,3271,3151,1705,3033,2729,1579,1330,524,2529,40,47,41,124,65,548,315,25,51,4,146532
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,2237,2597,1226,404,755,3790,1141,2741,298,1825,1563,1307,8162,3268,557,1633,3043,1423,1473,877,811,2036,3030,519,1450,1727,1779,3087,2341,3646,3566,5488,650,8484,4062,6997,753,2837,4588,1298,1839,2149,3359,1072,9637,3316,724,1149,458,6278,2977,3362,813,2703,2818,763,3685,4045,830,9575,4574,849,6432,3129,2836,1454,1275,3640,3044,6131,593,2001,4163,1836,3317,4098,5466,7641,8585,1927,3278,2541,1056,5278,2408,4747,1796,2090,2491,1342,586,7211,7073,3838,6436,5890,2972,2630,1032,5640,99,136,56,182,157,1074,730,80,143,14,307018
102,FF des sociétés d'aviron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,384,314,169,81,29,703,63,154,5,81,69,42,1089,246,0,208,224,109,50,21,10,86,181,0,231,89,288,118,19,506,222,1053,74,711,466,431,5,254,558,92,201,76,148,11,1089,211,175,334,1,396,141,530,3,183,440,178,295,218,7,644,337,2,277,48,528,5,125,446,128,1401,8,289,52,542,840,712,554,720,1091,30,170,114,228,398,159,78,83,101,75,34,9,442,1046,179,928,413,90,151,42,15,0,0,1,1,0,51,0,136,137,3,27935
,Licences féminines,,293,204,120,71,32,630,59,93,1,56,59,23,703,122,7,123,194,64,59,16,18,73,163,0,206,70,203,106,11,488,163,625,46,469,360,325,0,132,370,70,120,45,81,8,655,117,98,235,2,227,144,445,6,135,309,160,218,175,7,373,193,1,154,45,346,2,138,352,106,978,11,191,31,413,763,371,276,500,622,28,86,57,113,275,93,53,41,59,69,20,3,238,471,125,586,219,65,100,10,9,0,0,0,0,0,40,0,48,91,2,18781
