Codes Fédé,Fédérations françaises agréées en 2018,Obs,Ain,Aisne,Allier,Alpes-de-Haute-Provence,Hautes-Alpes,Alpes-Maritimes,Ardèche,Ardennes,Ariège,Aube,Aude,Aveyron,Bouches-du-Rhône,Calvados,Cantal,Charente,Charente-Maritime,Cher,Corrèze,Corse-du-Sud,Haute-Corse,Côte-d'Or,Côtes-d'Armor,Creuse,Dordogne,Doubs,Drôme,Eure,Eure-et-Loir,Finistère,Gard,Haute-Garonne,Gers,Gironde,Hérault,Ille-et-Vilaine,Indre,Indre-et-Loire,Isère,Jura,Landes,Loir-et-Cher,Loire,Haute-Loire,Loire-Atlantique,Loiret,Lot,Lot-et-Garonne,Lozère,Maine-et-Loire,Manche,Marne,Haute-Marne,Mayenne,Meurthe-et-Moselle,Meuse,Morbihan,Moselle,Nièvre,Nord,Oise,Orne,Pas-de-Calais,Puy-de-Dôme,Pyrénées-Atlantiques,Hautes-Pyrénées,Pyrénées-Orientales,Bas-Rhin,Haut-Rhin,Rhône,Haute-Saône,Saône-et-Loire,Sarthe,Savoie,Haute-Savoie,Paris,Seine-Maritime,Seine-et-Marne,Yvelines,Deux-Sèvres,Somme,Tarn,Tarn-et-Garonne,Var,Vaucluse,Vendée,Vienne,Haute-Vienne,Vosges,Yonne,Territoire de Belfort,Essonne,Hauts-de-Seine,Seine-Saint-Denis,Val-de-Marne,Val-d'Oise,Guadeloupe,Martinique,Guyane,La Réunion,Saint-Pierre-et-Miquelon,Mayotte,St Barthélémy,St Martin,Wallis et Futuna,Polynésie Française,Nouvelle Calédonie,Monaco,Autres,Non réparti par département et par région,TOTAL
Fédérations unisport olympiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,FF d'athlétisme,,21,17,8,5,9,30,10,25,4,13,11,11,69,23,9,8,23,13,17,11,16,16,34,8,12,15,14,24,18,28,26,31,4,61,31,57,9,21,33,8,16,15,20,7,58,23,6,12,9,47,18,22,6,20,31,9,36,31,11,73,38,7,46,24,29,19,14,35,33,31,4,11,31,13,25,44,38,60,62,10,31,22,6,48,17,40,14,22,24,16,6,49,44,33,34,38,36,38,12,57,2,6,1,5,5,13,15,1,0,6,2488
102,FF d'aviron,,9,3,2,3,1,4,1,4,0,2,5,2,16,3,0,3,4,1,2,3,2,3,6,0,3,4,5,3,1,17,3,14,2,12,10,7,0,4,7,3,4,4,5,1,10,4,4,7,0,4,3,4,1,2,5,4,9,4,1,10,2,0,4,1,6,0,5,5,3,12,2,3,2,3,9,1,7,6,8,1,2,3,4,9,2,3,1,2,2,2,1,7,5,2,9,6,5,13,3,2,0,0,0,0,0,4,0,1,0,2,430
103,FF de badminton,,16,7,10,6,7,18,9,13,4,8,4,11,41,27,4,10,20,23,11,1,3,14,27,12,18,18,11,14,24,21,17,40,4,56,20,81,19,28,43,10,17,26,18,7,49,40,11,13,4,39,14,16,4,28,23,6,34,27,5,58,16,22,39,27,8,2,16,57,25,32,12,13,20,12,16,27,40,47,43,6,13,9,7,20,10,25,12,26,14,11,1,40,24,20,28,27,7,5,3,15,0,0,0,0,1,0,10,1,0,0,1978
105,FF de basketball,,40,21,23,12,8,37,25,16,11,15,9,31,71,46,9,18,36,19,17,4,10,30,44,16,26,17,27,32,25,58,29,67,29,21,35,106,20,42,83,14,71,21,113,20,138,71,17,45,5,125,21,28,6,38,39,12,61,35,19,168,36,18,101,63,51,20,21,100,66,118,10,46,52,22,24,50,74,60,57,27,17,27,17,33,22,87,26,29,26,22,5,55,39,39,42,41,25,22,15,25,0,39,0,0,1,9,14,2,0,3,3950
106,FF de boxe,,5,9,6,3,2,18,7,4,2,4,4,3,32,10,0,2,5,5,7,3,3,3,10,1,5,10,3,9,8,6,14,21,5,31,18,4,4,7,18,5,8,5,13,3,18,7,2,6,1,9,8,8,5,5,11,3,10,19,4,34,13,4,23,14,9,3,9,13,11,26,3,7,9,3,11,20,14,18,16,4,5,4,1,17,9,7,4,4,1,3,3,15,16,28,17,13,9,11,8,12,0,0,0,2,1,0,8,0,0,0,923
107,FF de canoë-kayak,,8,13,4,3,5,8,12,6,3,5,3,3,10,7,1,10,9,6,8,0,3,9,19,2,7,15,4,9,5,20,5,9,5,18,11,19,4,6,8,1,10,4,5,2,19,8,2,8,2,12,8,10,2,4,11,3,20,10,6,11,4,3,14,3,14,6,3,13,3,5,3,6,5,4,8,3,10,16,9,3,10,4,3,15,5,13,8,3,4,8,2,6,5,6,11,2,9,2,10,11,0,4,0,0,3,0,1,0,0,0,740
108,FF de cyclisme,,23,26,18,16,16,32,18,12,11,11,14,14,71,32,10,19,29,20,10,12,12,23,56,13,23,30,28,27,18,56,25,29,7,51,44,52,14,37,44,17,10,16,31,9,48,32,7,15,7,34,38,19,9,17,22,9,47,26,9,64,30,22,46,26,25,20,15,26,27,43,13,32,42,33,49,8,49,41,27,17,26,19,10,55,29,40,16,23,21,19,4,30,20,21,12,25,62,25,9,31,0,4,0,3,0,14,12,1,0,98,2709
109,FF d'équitation,,143,85,72,53,48,103,57,41,49,39,79,73,262,151,34,79,120,79,59,29,45,82,105,35,92,71,113,155,99,132,157,169,66,246,183,133,51,113,163,62,78,76,114,37,189,107,50,92,23,137,114,77,37,51,101,33,146,122,51,238,173,86,148,113,104,44,77,126,85,98,62,114,90,56,96,34,169,245,199,63,98,85,60,177,107,136,71,76,58,85,17,141,31,7,20,91,12,9,11,38,1,2,1,1,0,4,24,2,57,0,9404
110,FF d'escrime,,9,3,4,5,3,11,8,3,2,3,3,3,17,11,2,2,8,4,3,2,2,7,10,3,6,5,9,13,2,4,6,15,2,17,9,15,1,6,12,6,4,2,5,6,9,8,1,2,0,5,5,7,4,1,11,2,6,9,2,21,10,2,10,5,6,2,6,11,11,26,2,6,7,4,5,31,13,23,27,2,6,5,2,11,6,7,6,4,5,3,2,24,30,18,26,13,7,4,3,8,0,0,0,0,0,0,4,1,0,20,790
